"","x"
"1","LOC101164105"
"2","W5MIP5"
"3","W5M9U9"
"4","TRIADDRAFT_54968"
"5","CREB1"
"6","CREM"
"7","3289643"
"8","ATF1"
"9","A0A2I2YFU5"
"10","creb1.L"
"11","NEMVEDRAFT_v1g242787"
"12","AUGUSTUS-3.0.2_08534"
"13","crema"
"14","Tcp11"
"15","Ednra"
"16","Sfn"
"17","Crem"
"18","Creb1"
"19","Edn1"
"20","Adcyap1r1"
"21","Scn11a"
"22","Ptger3"
"23","Ptger4"
"24","Crebbp"
"25","Srcap"
"26","Prkaca"
"27","CREBBP"
"28","TCP11"
"29","AKAP6"
"30","SCN11A"
"31","SRCAP"
"32","EZR"
"33","EDNRA"
"34","SFN"
"35","EDN1"
"36","MROH2B"
"37","CrebB"
"38","Akap7"
"39","Mroh2b"
"40","Ghrhr"
"41","Glp1r"
"42","Pde4d"
"43","Adcy8"
"44","Akap6"
"45","ZDHHC18"
"46","Ezr"
"47","Atf1"
"48","pkaA"
"49","GHRHR"
"50","PRKACA"
"51","atf1"
"52","creb1a"
"53","creb1b"
"54","cremb"
"55","creb1"
"56","AABR07031674.2"
"57","Gapdh"
"58","LELG_05472"
"59","LELG_05222"
"60","DEHA2C08448g"
"61","CYR1"
"62","CLUG_00853"
"63","CTRG_04268"
"64","CTRG_04858"
"65","CORT_0B05000"
"66","FMP28"
"67","PGUG_03911"
"68","CTRG_05226"
"69","CAWG_05487"
"70","RAS1"
"71","PGUG_05817"
"72","CLUG_00453"
"73","CAWG_06092"
"74","CTRG_02064"
"75","CORT_0H00590"
"76","CAWG_00802"
"77","LELG_02372"
"78","CORT_0C06700"
"79","DEHA2F15774g"
"80","A0A7M7GGA4"
"81","YAK1"
"82","SOK1"
"83","crh-1"
"84","DEHA2F09438g"
"85","CAWG_05641"
"86","CORT_0G04470"
"87","DEHA2C17490g"
"88","QCR10"
"89","PGUG_01522"
"90","PGUG_04193"
"91","LELG_04541"
"92","CLUG_05725"
"93","CLUG_05147"
"94","atf1.S"
"95","creb1.S"
"96","DAPPUDRAFT_330320"
"97","IscW_ISCW012507"
"98","atf1.L"
"99","LOC101158674"
"100","LOC118424684"
"101","Ci-CREB_ATF-c"
"102","CASR"
"103","WDR81"
"104","CD109"
"105","FOS"
"106","OSR2"
"107","MTOR"
"108","MET"
"109","FAT1"
"110","GRIK2"
"111","THBS1"
"112","NEUROD2"
"113","FOSB"
"114","JUNB"
